origin,average_user_rating,weight,title,manufactured,current_url,length,score,gauge,cigar_format,ring,presentation
Cuba,4.0,"7,6 gr.",Los Statos de Luxe Selectos Cigars - Cuban Cigars Reviews,Machine Made,http://www.cigars-review.org/Statos-de-Luxe-Selectos.htm,140,7.6,Medium,Nacionales,40,"Semi Plain box: (With cellophane and cedro sheet wrapped) boxes of 10; (With cellophane) boxes of 25.
Carboard pack: (With cellophane) Boxes of 5 in boxes of 25 and boxes of 50."
Cuba,0.0,"6,9 gr.",Los Statos de Luxe Dobles Cigars - Cuban Cigars Reviews,Machine Made,http://www.cigars-review.org/Statos-de-Luxe-Dobles.htm,123,,Medium,Standard,40,Semi Plain Box: (With cellophane) boxes of 25.
Cuba,3.0,"7,6 gr.",Los Statos de Luxe Cremas Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Statos-de-Luxe-Cremas.htm,140,,Medium,Nacionales,40,Semi Plain Box: (With cellophane) boxes of 25.
Cuba,3.5,"6,9 gr.",Los Statos de Luxe Delirios Cigars - Cuban Cigars Reviews,Machine Made,http://www.cigars-review.org/Statos-de-Luxe-Delirios.htm,123,7.0,Medium,Standard,40,Cardboard Pack: (With cellophane) boxes of 10 in boxes of 50.
Cuba,0.0,,Juan Lopez Tres Petit Coronas Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Juan-Lopez-Tres-Petit-Coronas.htm,122,,Medium,,,
Cuba,0.0,,Juan Lopez Titanias Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Juan-Lopez-Titanias.htm,110,,Medium,,,
Cuba,5.0,15 gr.,Juan Lopez Supreme Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Juan-Lopez-Supreme.htm,135,,Thick,Edmundo,52,
Cuba,0.0,,Juan Lopez Short Torpedo Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Juan-Lopez-Short-Torpedo.htm,127,,Thick,Petit Piramides,50,
Cuba,0.0,9.59 gr.,Juan Lopez Short Robusto Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Juan-Lopez-Short-Robusto.htm,102,,Thick,Petit Robusto,50,
Cuba,3.5,,Juan Lopez Seleccion Suprema Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Juan-Lopez-Seleccion-Suprema.htm,170,,Thick,Torre Iznaga,52,
Cuba,4.5,"8,15 gr.",Diplomaticos Diplomaticos No. 7 Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Diplomaticos-Diplomaticos-No-7.htm,152,,Thin,Laguito No. 2,38,"Semi Plain Box: (Without cellophane) Boxes of 25.
Semi Boite Nature with Brooch: Boxes of 10 and boxes of 25.
Special Packaging: Humidor of 100 cigars."
Cuba,0.0,"6,76 gr.",Hoyo de Monterrey Versaille Cigars - Cuban Cigars Reviews,Machine Made,http://www.cigars-review.org/Hoyo-de-Monterrey-de-Jose-Gener-Versaille.htm,170,,Thin,Palma,33,"Special packaging: ""Cajon"" of 100"
Cuba,0.0,"8,46 gr.",Hoyo de Monterrey Souvenir Deluxe Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Hoyo-de-Monterrey-de-Jose-Gener-Souvenir-De-Luxe.htm,129,,Medium,Petit Coronas,42,Special packaging: Aluminium packs of boxes of 5 in boxes of 100
Cuba,0.0,,Hoyo de Monterrey Short Ones Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Hoyo-de-Monterrey-Short-Ones.htm,110,,Medium,,,
Cuba,4.0,"14,26 gr.",H. Upmann Upmann No. 2 Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/H-Upmann-Upmann-No-2.htm,156,8.5,Thick,Piramide,52,2 Layers in a Box of 25
Cuba,0.0,"10,14 gr.",Hoyo de Monterrey Super Selection Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Hoyo-de-Monterrey-Super-Selection.htm,155,,Medium,Corona Grande,42,"Slide Lid Box: Boxes of 25.
Semi Boite Nature with Brooch: Boxes of 25."
Cuba,4.0,"7,6 gr.",Los Statos de Luxe Brevas Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Statos-de-Luxe-Brevas.htm,140,7.8,Medium,Nacionales,40,"Semi Plain Box: (Wrapped in air-tight aluminium paper foil) boxes of 25.
Cardboard Pack: (Without cellophane) boxes of 5 in boxes of 25; (With cellophane) boxes of 5 in boxes of 25."
Cuba,4.5,,Hoyo de Monterrey Short Hoyo Piramides Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Hoyo-de-Monterrey-Short-Hoyo-Piramides.htm,135,8.5,Thick,Forum,46,
Cuba,3.0,"8,46 gr.",Hoyo de Monterrey Short Hoyo Coronas Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Hoyo-de-Monterrey-de-Jose-Gener-Short-Hoyo-Coronas.htm,129,6.4,Medium,Mareva,42,2 Layers in a Box of 25
Cuba,0.0,,Hoyo de Monterrey Petit Hoyo Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Hoyo-de-Monterrey-Petit-Hoyo.htm,106,,Medium,,,
Cuba,0.0,"9,29 gr.",Hoyo de Monterrey Royal Coronations Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Hoyo-de-Monterrey-Royal-Coronations.htm,142,,Medium,Corona,42,Semi Plain Box: (In aluminium tubes) Boxes of 25.
Cuba,0.0,"6,72 gr.",Hoyo de Monterrey Petit Coronations Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Hoyo-de-Monterrey-de-Jose-Gener-Petit-Coronations.htm,116,,Medium,Franciscano,40,Semi Plain Box: (In aluminium tubes) boxes of 25
Cuba,4.0,,Hoyo de Monterrey Regalos LE 2007 Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Hoyo-de-Monterrey-Regalos-LE-2007.htm,137,8.2,Thick,Regalos,46,
Cuba,4.5,"14,26 gr.",Hoyo de Monterrey Piramides LE 2003 Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Hoyo-de-Monterrey-Piramides-LE-2003.htm,156,9.1,Thick,Piramide,52,2 Layers in a Box of 25
Cuba,4.5,9.59 gr.,Hoyo de Monterrey Petit Robusto Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Hoyo-de-Monterrey-de-Jose-Gener-Petit-Robusto.htm,102,8.5,Thick,Petit Robusto,50,Boxes of 25 Cigars
Cuba,0.0,"8,15 gr.",Siboney Especiales Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Siboney-Especiales.htm,152,,Thin,Laguito No. 2,38,Semi Boite Nature with Brooch: Boxes of 10.
Cuba,0.0,,Trinidad Torre Iznagas Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Trinidad-Torre-Iznagas.htm,170,,Thick,Torre Iznaga,52,
Cuba,4.0,,Trinidad Short Robusto T Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Trinidad-Short-Robusto-T.htm,102,,Thick,Short del Valle,50,
Cuba,0.0,"6,72 gr.",Trinidad Patrimonios Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Trinidad-Patrimonios.htm,116,,Medium,Franciscano,40,
Cuba,0.0,"10,29 gr.",Trinidad Gran Panatela Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Trinidad-Gran-Panatela.htm,192,,Thin,Laguito No. 1,38,
Cuba,4.5,,Trinidad Robusto - T Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Trinidad-Robusto-T.htm,124,8.7,Thick,Del Valle,50,
Cuba,0.0,,Trinidad Ensuenos Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Trinidad-Ensuenos.htm,192,,Thick,Robustos Especiales,50,
Cuba,4.0,"10,8 gr.",Trinidad Ingenios EL 2007 Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Trinidad-Ingenios-Edicion-Limitada-2007.htm,165,7.8,Medium,Cervantes,42,Semi Boite Nature box with 12 sticks in one layer.
Cuba,4.0,,Trinidad Robusto Extra Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Trinidad-Robusto-Extra.htm,156,8.1,Thick,Dobles,50,2 Layers in a Box of 25
Cuba,0.0,"10,27 gr.",Trinidad Autenticos Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Trinidad-Autenticos.htm,143,,Medium,Francisco,44,
Cuba,4.5,"7,4 gr.",Trinidad Reyes Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Trinidad-Reyes.htm,110,8.5,Medium,Reyes,40,2 Layers in a Box of 25
Cuba,4.0,"13,91 gr.",Trinidad Fundadores Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Trinidad-Fundadores.htm,192,8.2,Thin,Laguito Especial,39,Boxes of 24 cigars in 4 layers
Cuba,4.0,"8,46 gr.",Trinidad Coloniales Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Trinidad-Coloniales.htm,130,8.5,Medium,Colonial,44,2 Layers in a Box of 25
Cuba,4.5,,Trinidad Doble Robustos Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Trinidad-Doble-Robustos.htm,192,,Thick,Robustos Especiales,50,
Cuba,0.0,,Troya Camelias Cigars - Cuban Cigars Reviews,Machine Made,http://www.cigars-review.org/Troya-Camelias.htm,150,,Thin,,,
Cuba,3.0,"6,9 gr.",Troya Coronas Club Tubulares Cigars - Cuban Cigars Reviews,Machine Made,http://www.cigars-review.org/Troya-Coronas-Club-Tubulares.htm,123,5.9,Medium,Standard,40,2 Layers in a Box of 25
Cuba,5.0,,Vegas Robaina Robaina Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Vegas-Robaina-Robaina.htm,156,,Thick,Robustos No 2,50,
Cuba,3.5,9.59 gr.,Vegas Robaina Petit Robustos Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Vegas-Robaina-Petit-Robustos.htm,102,,Thick,Petit Robusto,50,
Cuba,4.0,"14,26 gr.",Vegas Robaina Unicos Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Vegas-Robaina-Unicos.htm,156,8.2,Thick,Piramide,52,2 Layers in a Box of 25
Cuba,4.5,5 gr.,Troya Universales Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Troya-Universales.htm,134,8.7,Thin,Universal,38,2 Layers in a Box of 25
Cuba,0.0,"10,86 gr.",Vegas Robaina Famoso Ramirez Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Vegas-Robaina-Famoso-Ramirez.htm,127,,Thick,Hermoso No. 4,48,
