origin,average_user_rating,weight,title,manufactured,current_url,length,score,gauge,cigar_format,ring,presentation
Cuba,0.0,,"
  La Gloria Cubana  Turquinos",Machine Made,http://www.cigars-review.org/La-Gloria-Cubana-Turquinos.htm,125,,Medium,,,
Cuba,0.0,,"
  La Gloria Cubana  Triunfos",Machine Made,http://www.cigars-review.org/La-Gloria-Cubana-Triunfos.htm,132,,Medium,,,
Cuba,0.0,,"
  La Gloria Cubana  Pinares",Machine Made,http://www.cigars-review.org/La-Gloria-Cubana-Pinares.htm,142,,Medium,,,
Cuba,0.0,"6,72 gr.","
  La Gloria Cubana  Minutos",Hand Made,http://www.cigars-review.org/La-Gloria-Cubana-Minutos.htm,116,,Medium,Franciscano,40,Slide Lid Box: 25's.
Cuba,3.5,"8,84 gr.","
  La Gloria Cubana  Tapados",Hand Made,http://www.cigars-review.org/La-Gloria-Cubana-Tapados.htm,135,,Medium,Cosacos,42,Slide Lid Box: 10's
Cuba,4.0,"15,07 gr.","
  La Gloria Cubana  Tainos",Hand Made,http://www.cigars-review.org/La-Gloria-Cubana-Tainos.htm,178,8.4,Thick,Julieta No. 2,47,2 Layers in a Box of 25
Cuba,4.0,"10,14 gr.","
  La Gloria Cubana  Sabrosos",Hand Made,http://www.cigars-review.org/La-Gloria-Cubana-Sabrosos.htm,155,7.5,Medium,Corona Grande,42,2 Layers in a Box of 25
Cuba,4.5,"5,68 gr.","
  La Gloria Cubana  Medaille d'Or No. 4",Hand Made,http://www.cigars-review.org/La-Gloria-Cubana-Medaille-D-Or-No-4.htm,152,8.6,Thin,Palmita,32,Cabinet 8-9-8 of 25
Cuba,0.0,,"
  La Flor del Caney  Vegueros",Hand Made,http://www.cigars-review.org/La-Flor-del-Caney-Vegueros.htm,127,,Thin,Preferidos,38,Semi Plain Box: (With cellophane) Boxes of 25.
Cuba,4.0,"5,01 gr.","
  La Gloria Cubana  Medaille d'Or No. 3",Hand Made,http://www.cigars-review.org/La-Gloria-Cubana-Medaille-D-Or-No-3.htm,175,8.3,Thin,Panetela Larga,28,Cabinet 8-9-8 of 25
