review_date,title,review_text,user_rating,reviewer_name,review_no
"September 20, 2011",La Gloria Cubana  Tapados,  a smooth and delightful cigar that slowed down my intake on other favourite cigars. How come its discontinued and its available in the market though?,3.5,dernaika,2:
"August 26, 2016",La Gloria Cubana  Medaille d'Or No. 4,"A gourgeous cigar - lots of cocoa powder flavours and, I would almost bet, some slight vanilla. Rich and complex, this cigar offers a high quality 50 min smoke. Perfect draw.",4.5,heinrich,40:
"May 13, 2016",La Gloria Cubana  Medaille d'Or No. 4,"The best smoke I ever had. Fruits and flowers all along the smoke, on a woody and honey base, medium in strenght, the perfect size, not too long in time but not too short, this was absolutely perfect from start to finish, with an excellent price! 9/10",4.5,petit-nyctale,39:
"April 16, 2016",La Gloria Cubana  Medaille d'Or No. 4,  Just purchased a box from May2014 and have smoked two. Just like the last box I had about 20 years ago - a lot fuller and more complex than expected. Must remind myself to gently sip on these and they are splendid. Excellent draw and great aroma. Loving smaller ring gauge smokes at the moment especially when they draw well. These have some fruit and honey on the palate and an intoxicating aroma in the room.,4.5,ian,38:
"November 18, 2015",La Gloria Cubana  Medaille d'Or No. 4,"  Excellent cigar with loads of deep, rich tobacco flavor with floral overtones.. Even burning. Fine Draw. Lots of smoke. One of my favorites",5.0,miskis,37:
"November 3, 2015",La Gloria Cubana  Medaille d'Or No. 4," Box code ULA ABR 2015.I bought a few boxes, they smell well.I smoked one piece. They are young now, but not bland. Surprisingly moderate to strong with a growing taste.They remind me more young SLR or RASS, strong coffee beens taste. We'll see in a few years. it pays to wait 4-5 years.",0.0,kml,36:
"January 11, 2017",La Gloria Cubana  Medaille d'Or No. 3,  Hard to believe- they are 15 years old and the flavors just start to kick in - 5-15 years down the road people will be dreaming about those. Absolutely amazing experience. Highly recommended,5.0,bonvivant,32:
"January 19, 2015",La Gloria Cubana  Medaille d'Or No. 3,"  This beautiful, delicate cigar is like sipping honeysuckle from the vine, sweet, floral, and fruity. It has a touch of citrus peel. Must be stored and smoked with humidity low enough to allow a proper burn, and must be sipped gently. I'm finishing my third box of these and will miss them very much when they are gone. Very rare that I would score a cigar at 10 but this deserves it.",5.0,professor-twain,31:
"October 14, 2014",La Gloria Cubana  Medaille d'Or No. 3,Last had one in Hong Kong in March 2013....i left the city with two more sticks and i am enjoying one right now in a calm misty NYC fall evening.   I cant believe how smooth this cigar is taste and draw.  Great draw despite the thin shape.  15 years has done wonders but the flavor seems to be mellowing so enjoy it now if you can!!,4.5,shen2389,30:
"October 20, 2013",La Gloria Cubana  Medaille d'Or No. 3,"  After a 2007 Punch Churchill the LGC No.3 is the ideal ""second cigar"" giving a full spicy complex cuban classic taste. Happy to have a number of 2002 boxes waiting...",5.0,purissimo,29:
